BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
243,178.75,277.61,180ft aquifer
243,277.61,522.63,Middle aquitard
243,522.63,567.2,400ft aquifer
243,567.2, ---,Deep aquitard
243, ---,96.06,Shallow aquifer
266,50.91,120.54,180ft aquifer
266,120.54, ---,Middle aquitard
266, ---,50.91,Salinas aquitard
270,206.09,306.66,180ft aquifer
270,306.66,353.27,Middle aquitard
270,353.27,505.35,400ft aquifer
270,505.35,628,Deep aquitard
270,628, ---,Paso Robles
270, ---,206.09,Salinas aquitard
271,57.29,307.3,180ft aquifer
271,307.3,347.29,Middle aquitard
271,347.29, ---,400ft aquifer
271,608.35, ---,Paso Robles
271, ---,608.35,Deep aquitard
279,0,72.51,Salinas aquitard
279,72.51,212.51,180ft aquifer
279,212.51,332.5,Middle aquitard
279,332.5,517.37,400ft aquifer
279,517.37, ---,Deep aquitard
296,132.89, ---,180ft aquifer
296, ---,132.89,Salinas aquitard
304,148.5,463.8,Middle aquitard
304,463.8, ---,400ft aquifer
304, ---,148.5,180ft aquifer
315,127.68,163.31,Salinas aquitard
315,163.31,281.05,180ft aquifer
315,281.05,365.28,Middle aquitard
315,365.28,493.92,400ft aquifer
315,493.92, ---,Deep aquitard
315, ---,127.68,Shallow aquifer
317,261.85, ---,Middle aquitard
317, ---,261.85,180ft aquifer
323,149.3,178.94,Salinas aquitard
323,178.94,263.22,180ft aquifer
323,263.22,315.06,Middle aquitard
323,315.06, ---,400ft aquifer
323, ---,149.3,Shallow aquifer
351,60.16,103.28,180ft aquifer
351,103.28,140.01,Middle aquitard
351,140.01, ---,400ft aquifer
351, ---,60.16,Salinas aquitard
353,30.15,205.56,Salinas aquitard
353,205.56,235.15,180ft aquifer
353,235.15,430.48,Middle aquitard
353,430.48,502.58,400ft aquifer
353,502.58, ---,Deep aquitard
353, ---,30.15,Shallow aquifer
370,44.49,127.6,Salinas aquitard
370,127.6,193.64,180ft aquifer
370,193.64,333.58,Middle aquitard
370,333.58,410.28,400ft aquifer
370,410.28, ---,Deep aquitard
374,71.08,157.43,Salinas aquitard
374,157.43,292.88,180ft aquifer
374,292.88,427.81,Middle aquitard
374,427.81,502.9,400ft aquifer
374,502.9, ---,Deep aquitard
374, ---,71.08,Shallow aquifer
380,38.04,225.38,180ft aquifer
380,225.38,298.02,Middle aquitard
380,298.02, ---,400ft aquifer
380, ---,38.04,Salinas aquitard
388,143.08,243.09,180ft aquifer
388,243.09,413.08,Middle aquitard
388,413.08, ---,400ft aquifer
388, ---,143.08,Salinas aquitard
397,64.83, ---,Salinas aquitard
397, ---,64.83,Shallow aquifer
402,38.82,75.69,Salinas aquitard
402,75.69,193.81,180ft aquifer
402,193.81,318.62,Middle aquitard
402,318.62,448.71,400ft aquifer
402,448.71,527.62,Deep aquitard
402,527.62, ---,Paso Robles
402, ---,38.82,Shallow aquifer
403,43.46,105.27,180ft aquifer
403,105.27,160.06,Middle aquitard
403,160.06,224.68,400ft aquifer
403,224.68, ---,Deep aquitard
403, ---,43.46,Salinas aquitard
407,28.9, ---,Salinas aquitard
407,112.77,288.79,180ft aquifer
407,288.79,417.97,Middle aquitard
407,417.97,470.97,400ft aquifer
407,470.97, ---,Deep aquitard
407, ---,28.9,Shallow aquifer
420,218.57,273.11,Middle aquitard
420,273.11,402.75,400ft aquifer
420,402.75,468.31,Deep aquitard
420,468.31,218.57,180ft aquifer
420,468.31, ---,Paso Robles
420, ---,468.31,Salinas aquitard
423,126.94,199.22,180ft aquifer
423,199.22, ---,Middle aquitard
423, ---,126.94,Salinas aquitard
441,61.33,95.28,Salinas aquitard
441,95.28,162.97,180ft aquifer
441,162.97,301.3,Middle aquitard
441,301.3,362.98,400ft aquifer
441,362.98,412.98,Deep aquitard
441,412.98, ---,Paso Robles
441, ---,61.33,Shallow aquifer
465,78.83,157.32,180ft aquifer
465,157.32,180.18,Middle aquitard
465,180.18, ---,400ft aquifer
465, ---,78.83,Salinas aquitard
471,69.54,156.95,180ft aquifer
471,156.95,270.24,Middle aquitard
471,270.24, ---,400ft aquifer
471, ---,69.54,Salinas aquitard
489,63.57,184.5,180ft aquifer
489,184.5, ---,Middle aquitard
489, ---,63.57,Salinas aquitard
499,59.56,191.14,Salinas aquitard
499,191.14,253.13,180ft aquifer
499,253.13, ---,Middle aquitard
499, ---,59.56,Shallow aquifer
506,51.75,133.23,Salinas aquitard
506,133.23,159.66,180ft aquifer
506,159.66,268.1,Middle aquitard
506,268.1,404.06,400ft aquifer
506,404.06, ---,Deep aquitard
506, ---,51.75,Shallow aquifer
515,103.15,203.16,180ft aquifer
515,203.16,288.17,Middle aquitard
515,288.17,363.17,400ft aquifer
515,363.17,438.18,Deep aquitard
515,438.18, ---,Paso Robles
515, ---,103.15,Salinas aquitard
520,31.69,118.69,180ft aquifer
520,118.69,218.63,Middle aquitard
520,218.63, ---,400ft aquifer
520, ---,31.69,Salinas aquitard
527,156.67,227.9,180ft aquifer
527,227.9,281.67,Middle aquitard
527,281.67,409.39,400ft aquifer
527,409.39, ---,Deep aquitard
527, ---,156.67,Salinas aquitard
528,49.17,122.15,Salinas aquitard
528,122.15,223.45,180ft aquifer
528,223.45,382.69,Middle aquitard
528,382.69, ---,400ft aquifer
528, ---,49.17,Shallow aquifer
531,20.01,102.4,Salinas aquitard
531,102.4,200.31,180ft aquifer
531,200.31,239.81,Middle aquitard
531,239.81, ---,400ft aquifer
531, ---,20.01,Shallow aquifer
536,36.35,74.45,Shallow aquifer
536,74.45,113.19,Salinas aquitard
536,113.19,250.31,180ft aquifer
536,250.31,323.01,Middle aquitard
536,323.01,510.85,400ft aquifer
536,510.85, ---,Deep aquitard
545,108.44,183.44,180ft aquifer
545,183.44,243.45,Middle aquitard
545,243.45,343.46,400ft aquifer
545,343.46,423.45,Deep aquitard
545,423.45, ---,Paso Robles
545, ---,108.44,Salinas aquitard
546,48.14,91.59,Salinas aquitard
546,91.59,166.45,180ft aquifer
546,166.45,220.9,Middle aquitard
546,220.9,327.53,400ft aquifer
546,327.53, ---,Deep aquitard
546, ---,48.14,Shallow aquifer
552,22.8,84.21,180ft aquifer
552,84.21,106.55,Middle aquitard
552,106.55,221.93,400ft aquifer
552,221.93, ---,Deep aquitard
552, ---,22.8,Salinas aquitard
559,128.18,143.1,Salinas aquitard
559,143.1,230.91,180ft aquifer
559,230.91,292.9,Middle aquitard
559,292.9,331.64,400ft aquifer
559,331.64, ---,Deep aquitard
559, ---,128.18,Shallow aquifer
562,91.67,284.47,180ft aquifer
562,284.47,352.88,Middle aquitard
562,352.88,568.23,400ft aquifer
562,568.23, ---,Deep aquitard
562, ---,91.67,Salinas aquitard
566,42.12,135.98,180ft aquifer
566,135.98,193.68,Middle aquitard
566,193.68,298.04,400ft aquifer
566,298.04, ---,Deep aquitard
566, ---,42.12,Salinas aquitard
567,24.57,107.38,180ft aquifer
567,107.38,218.42,Middle aquitard
567,218.42,247.27,400ft aquifer
567,247.27, ---,Deep aquitard
567, ---,24.57,Salinas aquitard
571,47.51,92.61,Salinas aquitard
571,92.61,179.89,180ft aquifer
571,179.89,298.18,Middle aquitard
571,298.18, ---,400ft aquifer
571, ---,47.51,Shallow aquifer
573,67.31,77.25,Salinas aquitard
573,77.25,189.44,180ft aquifer
573,189.44,309.93,Middle aquitard
573,309.93, ---,400ft aquifer
573, ---,67.31,Shallow aquifer
576,105.57,176.27,180ft aquifer
576,176.27, ---,Middle aquitard
576, ---,105.57,Salinas aquitard
578,0,57.03,Shallow aquifer
578,57.03,118.84,Salinas aquitard
578,118.84,188.85,180ft aquifer
578,188.85,243.84,Middle aquitard
578,243.84, ---,400ft aquifer
583,114.46,161.18,Salinas aquitard
583,161.18,230.26,180ft aquifer
583,230.26,334.23,Middle aquitard
583,334.23,411.71,400ft aquifer
583,411.71, ---,Deep aquitard
583, ---,114.46,Shallow aquifer
587,24.12, ---,Salinas aquitard
587,131.9,251.85,180ft aquifer
587,251.85,321.9,Middle aquitard
587,321.9, ---,400ft aquifer
587, ---,24.12,Shallow aquifer
597,65.97,237.97,Salinas aquitard
597,237.97,333.51,180ft aquifer
597,333.51,351.21,Middle aquitard
597,351.21,531.23,400ft aquifer
597,531.23, ---,Deep aquitard
597, ---,65.97,Shallow aquifer
603,63.41,128.59,Salinas aquitard
603,128.59,269.25,180ft aquifer
603,269.25,317.28,Middle aquitard
603,317.28,433.93,400ft aquifer
603,433.93, ---,Deep aquitard
603, ---,63.41,Shallow aquifer
643,145.45,172.96,Salinas aquitard
643,172.96,247.74,180ft aquifer
643,247.74,302.93,Middle aquitard
643,302.93,442.01,400ft aquifer
643,442.01, ---,Deep aquitard
643, ---,145.45,Shallow aquifer
646,99.84,172.5,Salinas aquitard
646,172.5,231.15,180ft aquifer
646,231.15,438.86,Middle aquitard
646,438.86,486.15,400ft aquifer
646,486.15,681.17,Deep aquitard
646,681.17, ---,Paso Robles
646, ---,99.84,Shallow aquifer
648,83.54,109.88,Salinas aquitard
648,109.88,223.63,180ft aquifer
648,223.63,318.68,Middle aquitard
648,318.68, ---,400ft aquifer
648, ---,83.54,Shallow aquifer
656,47.48,121.89,Salinas aquitard
656,121.89,187.36,180ft aquifer
656,187.36,311.08,Middle aquitard
656,311.08,383.62,400ft aquifer
656,383.62, ---,Deep aquitard
657,42.78,112.88,Salinas aquitard
657,112.88,242.79,180ft aquifer
657,242.79, ---,Middle aquitard
670,112.86,157.29,Salinas aquitard
670,157.29,291.12,180ft aquifer
670,291.12,472.23,Middle aquitard
670,472.23,577.1,400ft aquifer
670,577.1, ---,Deep aquitard
670, ---,112.86,Shallow aquifer
671,24.78,194.56,Salinas aquitard
671,194.56,259.52,180ft aquifer
671,259.52,481.26,Middle aquitard
671,481.26,551.24,400ft aquifer
671,551.24, ---,Deep aquitard
671, ---,24.78,Shallow aquifer
680,98.5,154.43,180ft aquifer
680,154.43,251.16,Middle aquitard
680,251.16,347.98,400ft aquifer
680,347.98, ---,Deep aquitard
680, ---,98.5,Salinas aquitard
700,97.02,169.56,180ft aquifer
700,169.56, ---,Middle aquitard
700, ---,97.02,Salinas aquitard
731,28.1,149.49,Salinas aquitard
731,149.49,280.72,180ft aquifer
731,280.72,362.79,Middle aquitard
731,362.79,466.44,400ft aquifer
731,466.44, ---,Deep aquitard
731, ---,28.1,Shallow aquifer
734,46.22,106.3,Salinas aquitard
734,106.3,279.87,180ft aquifer
734,279.87,476.8,Middle aquitard
734,476.8, ---,400ft aquifer
734, ---,46.22,Shallow aquifer
773,166.85,206.09,180ft aquifer
773,206.09,287.04,Middle aquitard
773,287.04,412.14,400ft aquifer
773,412.14,495.54,Deep aquitard
773,495.54, ---,Paso Robles
773, ---,166.85,Salinas aquitard
776,55.95,106.85,180ft aquifer
776,106.85, ---,Middle aquitard
776, ---,55.95,Salinas aquitard
779,46.54,89.05,180ft aquifer
779,89.05, ---,Middle aquitard
779, ---,46.54,Salinas aquitard
780,26.41, ---,Salinas aquitard
780,117.43,302.44,180ft aquifer
780,302.44,337.45,Middle aquitard
780,337.45,454.29,400ft aquifer
780,454.29, ---,Deep aquitard
780, ---,26.41,Shallow aquifer
783,9.12, ---,Shallow aquifer
783,59.79,134.25,180ft aquifer
783,134.25,170.77,Middle aquitard
783,170.77,241.01,400ft aquifer
783,241.01, ---,Deep aquitard
783, ---,59.79,Salinas aquitard
787, ---, ---,180ft aquifer
787, ---, ---,400ft aquifer
787, ---, ---,Deep aquitard
787, ---, ---,Middle aquitard
787, ---, ---,Paso Robles
787, ---, ---,Salinas aquitard
787, ---, ---,Shallow aquifer
788,29.69,122.41,180ft aquifer
