BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
1162,287.74,484.46,400ft aquifer
1162,484.46, ---,Deep aquitard
1162, ---,75.53,Shallow aquifer
1167,90.79, ---,Salinas aquitard
1167,161.72,203.26,180ft aquifer
1167,203.26, ---,Middle aquitard
1167, ---,90.79,Shallow aquifer
1169,126.9,163.23,Salinas aquitard
1169,163.23,235.71,180ft aquifer
1169,235.71,396.21,Middle aquitard
1169,396.21,562.76,400ft aquifer
1169,562.76, ---,Deep aquitard
1169, ---,126.9,Shallow aquifer
1185,22.33,154.8,180ft aquifer
1185,154.8,182.69,Middle aquitard
1185,182.69,343.05,400ft aquifer
1185,343.05, ---,Deep aquitard
1185, ---,22.33,Salinas aquitard
1191,143.15,165.76,Salinas aquitard
1191,165.76,365.06,180ft aquifer
1191,365.06, ---,Middle aquitard
1191, ---,143.15,Shallow aquifer
1201,220.93, ---,400ft aquifer
1201, ---,220.93,Middle aquitard
1203,18.82,80.64,Shallow aquifer
1203,80.64,199.62,Salinas aquitard
1203,199.62,317.5,180ft aquifer
1203,317.5,366.55,Middle aquitard
1203,366.55,568.99,400ft aquifer
1203,568.99, ---,Deep aquitard
1205,22.04,119.92,Salinas aquitard
1205,119.92, ---,180ft aquifer
1205, ---,22.04,Shallow aquifer
1207,38.49,120.7,180ft aquifer
1207,120.7,189.52,Middle aquitard
1207,189.52, ---,400ft aquifer
1207, ---,38.49,Salinas aquitard
1209,40.16,57.32,Shallow aquifer
1209,57.32,99.68,Salinas aquitard
1209,99.68,185.02,180ft aquifer
1209,185.02,299.42,Middle aquitard
1209,299.42, ---,400ft aquifer
1229,0,77.79,Shallow aquifer
1229,77.79,142.79,Salinas aquitard
1229,142.79,182.78,180ft aquifer
1229,182.78,352.81,Middle aquitard
1229,352.81, ---,400ft aquifer
1233,123.96,263.94,180ft aquifer
1233,263.94,399.59,Middle aquitard
1233,399.59,523.56,400ft aquifer
1233,523.56, ---,Deep aquitard
1233, ---,123.96,Salinas aquitard
1242,81.15,113.83,Salinas aquitard
1242,113.83,314.02,180ft aquifer
1242,314.02, ---,Middle aquitard
1242,469.68,720.8,400ft aquifer
1242,720.8, ---,Deep aquitard
1242, ---,81.15,Shallow aquifer
1255,106.4,206.76,Salinas aquitard
1255,206.76,320.36,180ft aquifer
1255,320.36,610.36,400ft aquifer
1255,320.36,320.36,Middle aquitard
1255,610.36, ---,Deep aquitard
1255, ---,106.4,Shallow aquifer
1257,99.56, ---,Salinas aquitard
1257,235.12,249.16,180ft aquifer
1257,249.16,274.28,Middle aquitard
1257,274.28,447.3,400ft aquifer
1257,447.3, ---,Deep aquitard
1257, ---,99.56,Shallow aquifer
1262,130.25,167.73,180ft aquifer
1262,167.73,279.15,Middle aquitard
1262,279.15,397.26,400ft aquifer
1262,397.26, ---,Deep aquitard
1262, ---,130.25,Salinas aquitard
1265,84.77,181.18,180ft aquifer
1265,181.18, ---,Middle aquitard
1265, ---,84.77,Salinas aquitard
1281,39.79,106.94,180ft aquifer
1281,106.94, ---,Middle aquitard
1281, ---,39.79,Salinas aquitard
1282,113.29,212.2,180ft aquifer
1282,212.2,235.47,Middle aquitard
1282,235.47,442.02,400ft aquifer
1282,442.02, ---,Deep aquitard
1282, ---,113.29,Salinas aquitard
1287,71.29,151.97,180ft aquifer
1287,151.97,239.46,Middle aquitard
1287,239.46, ---,400ft aquifer
1287, ---,71.29,Salinas aquitard
1290,199.74,380.91,180ft aquifer
1290,380.91, ---,Middle aquitard
1290, ---,199.74,Salinas aquitard
1301,36.06,152.44,Salinas aquitard
1301,152.44,220.28,180ft aquifer
1301,220.28,291.45,Middle aquitard
1301,291.45, ---,400ft aquifer
1301, ---,36.06,Shallow aquifer
1304,135.13,267.53,180ft aquifer
1304,267.53,326.76,Middle aquitard
1304,326.76,441.74,400ft aquifer
1304,441.74,487.03,Deep aquitard
1304,487.03, ---,Paso Robles
1304, ---,135.13,Salinas aquitard
1308,181.43,264.81,180ft aquifer
1308,264.81,354.73,Middle aquitard
1308,354.73,394.79,400ft aquifer
1308,394.79, ---,Deep aquitard
1308, ---,181.43,Salinas aquitard
1309,51.11,108.47,Salinas aquitard
1309,108.47,168.48,180ft aquifer
1309,168.48,238.5,Middle aquitard
1309,238.5,358.48,400ft aquifer
1309,358.48,398.48,Deep aquitard
1309,398.48, ---,Paso Robles
1309, ---,51.11,Shallow aquifer
1326,54.83,75.96,Salinas aquitard
1326,75.96,121.75,180ft aquifer
1326,121.75,421.94,Middle aquitard
1326,421.94, ---,400ft aquifer
1326, ---,54.83,Shallow aquifer
1358,266.77,324.89,180ft aquifer
1358,324.89,435.99,Middle aquitard
1358,435.99, ---,400ft aquifer
1358, ---,266.77,Salinas aquitard
1359,50.46,133.96,Salinas aquitard
1359,133.96,273.96,180ft aquifer
1359,273.96,348.97,Middle aquitard
1359,348.97,438.96,400ft aquifer
1359,438.96,538.97,Deep aquitard
1359,538.97, ---,Paso Robles
1359, ---,50.46,Shallow aquifer
1360,49.94,128.31,Salinas aquitard
1360,128.31, ---,180ft aquifer
1360, ---,49.94,Shallow aquifer
1401,137.33,217.4,Salinas aquitard
1401,217.4,304.64,180ft aquifer
1401,304.64,373.08,Middle aquitard
1401,373.08,476.93,400ft aquifer
1401,476.93, ---,Deep aquitard
1401, ---,137.33,Shallow aquifer
1407,169.06,209.43,Salinas aquitard
1407,209.43,391.11,180ft aquifer
1407,391.11,462.58,Middle aquitard
1407,462.58,670.35,400ft aquifer
1407,670.35, ---,Deep aquitard
1407, ---,169.06,Shallow aquifer
1421,147.38,177.4,180ft aquifer
1421,177.4,267.4,Middle aquitard
1421,267.4, ---,400ft aquifer
1421, ---,147.38,Salinas aquitard
1433,43.01,138.47,180ft aquifer
1433,138.47,187.97,Middle aquitard
1433,187.97, ---,400ft aquifer
1433, ---,43.01,Salinas aquitard
1460,141.17,318.3,180ft aquifer
1460,318.3,381.15,Middle aquitard
1460,381.15,501.31,400ft aquifer
1460,501.31, ---,Deep aquitard
1460, ---,141.17,Salinas aquitard
1464,83.9,144.99,Salinas aquitard
1464,144.99,269.53,180ft aquifer
1464,269.53,388.22,Middle aquitard
1464,388.22,516.9,400ft aquifer
1464,516.9, ---,Deep aquitard
1464, ---,83.9,Shallow aquifer
1466,77.6,142.76,Salinas aquitard
1466,142.76,237.77,180ft aquifer
1466,237.77,366.9,Middle aquitard
1466,366.9,532.41,400ft aquifer
1466,532.41, ---,Deep aquitard
1466, ---,77.6,Shallow aquifer
1480,97.6,129.35,Salinas aquitard
1480,129.35,214.84,180ft aquifer
1480,214.84, ---,Middle aquitard
1480, ---,97.6,Shallow aquifer
1508,120.02, ---,180ft aquifer
1508, ---,120.02,Salinas aquitard
1521,156.16,201.18,Salinas aquitard
1521,201.18,246.26,180ft aquifer
1521,246.26,361.67,Middle aquitard
1521,361.67, ---,400ft aquifer
1521, ---,156.16,Shallow aquifer
1525,122.11,170.99,180ft aquifer
1525, ---,122.11,Salinas aquitard
1528,102.51, ---,180ft aquifer
1528,268.1,386.63,400ft aquifer
1528,386.63, ---,Deep aquitard
1528, ---,268.1,Middle aquitard
1528, ---,102.51,Salinas aquitard
1529,57.78, ---,Salinas aquitard
1529,136.06, ---,180ft aquifer
1529, ---,57.78,Shallow aquifer
1534,87.77,173.53,Salinas aquitard
1534,173.53,278.67,180ft aquifer
1534,278.67,361.4,Middle aquitard
1534,361.4,474.5,400ft aquifer
1534,474.5, ---,Deep aquitard
1534, ---,87.77,Shallow aquifer
1540,77.83,182.85,Salinas aquitard
1540,182.85, ---,180ft aquifer
1549,81.01,188.85,Salinas aquitard
1549,188.85,255.28,180ft aquifer
1549,255.28,363.31,Middle aquitard
1549,363.31,526.24,400ft aquifer
1549,526.24, ---,Deep aquitard
1549, ---,81.01,Shallow aquifer
1556,102.47,212.03,Salinas aquitard
1556,212.03,276.02,180ft aquifer
1556,276.02,362.4,Middle aquitard
1556,362.4,391.2,400ft aquifer
1556,391.2,517.51,Deep aquitard
1556,517.51, ---,Paso Robles
1557,89.78,135.11,Salinas aquitard
1557,135.11,246.17,180ft aquifer
1557,246.17,362.98,Middle aquitard
1557,362.98,469.71,400ft aquifer
1557,469.71, ---,Deep aquitard
1557, ---,89.78,Shallow aquifer
1562,78.56,500.75,Salinas aquitard
1562,220.48,285.95,Middle aquitard
1562,285.95,389.92,400ft aquifer
1562,389.92,500.75,Deep aquitard
1562,500.75,220.48,180ft aquifer
1562,500.75, ---,Paso Robles
1562, ---,78.56,Shallow aquifer
1566,123.2,203.32,180ft aquifer
1566,203.32,320.59,Middle aquitard
1566,320.59,460.55,400ft aquifer
1566,460.55, ---,Deep aquitard
1566, ---,123.2,Salinas aquitard
1576,246.93, ---,Middle aquitard
1576, ---,246.93,180ft aquifer
1579,48.21, ---,Salinas aquitard
1579,92.72,217.41,180ft aquifer
1579,217.41,301.05,Middle aquitard
1579,301.05,446.59,400ft aquifer
1579,446.59, ---,Deep aquitard
1579, ---,48.21,Shallow aquifer
1605,97.29,185.44,Middle aquitard
1605,185.44,285.34,400ft aquifer
1605,285.34, ---,Deep aquitard
1605, ---,97.29,180ft aquifer
1636,91.57,117.48,Salinas aquitard
1636,117.48,266.58,180ft aquifer
1636,266.58,451.6,Middle aquitard
1636,451.6,601.6,400ft aquifer
1636,601.6, ---,Deep aquitard
1657,13.79,117.61,Salinas aquitard
1657,117.61, ---,180ft aquifer
1657,375.62,509.59,400ft aquifer
1657,509.59, ---,Deep aquitard
1657, ---,375.62,Middle aquitard
1657, ---,13.79,Shallow aquifer
1663,25.53, ---,Salinas aquitard
1663, ---,25.53,Shallow aquifer
1672,78.35, ---,Salinas aquitard
1672,173.96,278.98,180ft aquifer
1672,278.98,328.99,Middle aquitard
1672,328.99,618.99,400ft aquifer
1672,618.99, ---,Deep aquitard
1672, ---,78.35,Shallow aquifer
1694,36.73,143.94,Salinas aquitard
1694,143.94,273.93,180ft aquifer
1694,273.93, ---,Middle aquitard
1694, ---,36.73,Shallow aquifer
1698,0,217.73,Salinas aquitard
1698,217.73,267.73,180ft aquifer
1698,267.73,412.75,Middle aquitard
1698,412.75,501.08,400ft aquifer
1698,501.08, ---,Deep aquitard
1704,97.84,127.83,Salinas aquitard
1704,127.83,281.14,180ft aquifer
1704,281.14,322.85,Middle aquitard
1704,322.85,556.4,400ft aquifer
1704,556.4, ---,Deep aquitard
1705,78.47,138.92,Salinas aquitard
1705,138.92,313.1,180ft aquifer
1705,313.1,412.82,Middle aquitard
1705,412.82,596.55,400ft aquifer
1705,596.55, ---,Deep aquitard
1705, ---,78.47,Shallow aquifer
1707,118.34,248.9,Salinas aquitard
1707,248.9,362.5,180ft aquifer
1707,362.5,490.25,Middle aquitard
1707,490.25, ---,400ft aquifer
1707, ---,118.34,Shallow aquifer
1710,190.83,325.04,180ft aquifer
1710,325.04,375.34,Middle aquitard
1710,375.34, ---,400ft aquifer
1710, ---,190.83,Salinas aquitard
1711,36.93, ---,Salinas aquitard
1711, ---,36.93,Shallow aquifer
1717,9.22,52.27,Salinas aquitard
1717,52.27,149.14,180ft aquifer
1717,149.14,278.29,Middle aquitard
1717,278.29, ---,400ft aquifer
1717, ---,9.22,Shallow aquifer
1777,356.04, ---,400ft aquifer
1777, ---,356.04,Middle aquitard
1779,103.36,134.03,Salinas aquitard
1779,134.03,259.03,180ft aquifer
1779,259.03,344.05,Middle aquitard
1779,344.05,449.07,400ft aquifer
1779,449.07,544.06,Deep aquitard
1779,544.06, ---,Paso Robles
1779, ---,103.36,Shallow aquifer
1780,58.92,138.47,180ft aquifer
1780,138.47,170.29,Middle aquitard
1780,170.29, ---,400ft aquifer
1780, ---,58.92,Salinas aquitard
1789,13.29,35.69,Salinas aquitard
1789,35.69,156.97,180ft aquifer
1789,156.97,250.26,Middle aquitard
1789,250.26, ---,400ft aquifer
1789, ---,13.29,Shallow aquifer
1790,33.34,178.13,180ft aquifer
1790,178.13,277.86,Middle aquitard
1790,277.86,329.68,400ft aquifer
1790,329.68, ---,Deep aquitard
1790, ---,33.34,Salinas aquitard
1792,55.42,108.54,Salinas aquitard
1792,108.54,189.08,180ft aquifer
1792,189.08,391.52,Middle aquitard
1792,391.52, ---,400ft aquifer
1792, ---,55.42,Shallow aquifer
1795,164.21,208.31,180ft aquifer
1795,208.31,267.83,Middle aquitard
1795,267.83,445.5,400ft aquifer
1795,445.5, ---,Deep aquitard
1795, ---,164.21,Salinas aquitard
1803,54.36,132.55,Salinas aquitard
1803,132.55,232.56,180ft aquifer
1803,232.56,392.54,Middle aquitard
1803,392.54,662.57,400ft aquifer
1803,662.57, ---,Deep aquitard
1803, ---,54.36,Shallow aquifer
1808,105.57,143.91,Salinas aquitard
1808,143.91,256.86,180ft aquifer
1808,256.86,295.52,Middle aquitard
1808,295.52,446.33,400ft aquifer
1808,446.33,514.85,Deep aquitard
1808,514.85, ---,Paso Robles
1808, ---,105.57,Shallow aquifer
1812,87.38,169.63,Salinas aquitard
1812,169.63,342.88,180ft aquifer
1812,342.88,509.48,Middle aquitard
1812,509.48, ---,400ft aquifer
1812, ---,87.38,Shallow aquifer
1816,93.41,313.4,180ft aquifer
1816,313.4, ---,Middle aquitard
1820,60.91,128.09,Salinas aquitard
1820,128.09,181.84,180ft aquifer
1820,181.84, ---,Middle aquitard
1820, ---,60.91,Shallow aquifer
1823,109.26,233.18,Salinas aquitard
1823,233.18,321.49,180ft aquifer
1823,321.49,389.85,Middle aquitard
1823,389.85,483.86,400ft aquifer
1823,483.86, ---,Deep aquitard
1823, ---,109.26,Shallow aquifer
1825,39.57,131.73,Salinas aquitard
1825,131.73,403.23,180ft aquifer
1825,403.23, ---,Middle aquitard
1825, ---,39.57,Shallow aquifer
1833,97.58,171.46,Salinas aquitard
1833,171.46,301.25,180ft aquifer
1833,301.25,403,Middle aquitard
1833,403, ---,400ft aquifer
1833, ---,97.58,Shallow aquifer
1836,80.32,136.6,Salinas aquitard
1836,136.6,229.1,180ft aquifer
1836,229.1,454.8,Middle aquitard
1836,454.8, ---,400ft aquifer
1836, ---,80.32,Shallow aquifer
1838,0.69,27.69,Shallow aquifer
1838,27.69,162.67,Salinas aquitard
1838,162.67, ---,180ft aquifer
1840,457.62,618.23,400ft aquifer
1840,618.23, ---,Deep aquitard
1840, ---,457.62,Middle aquitard
1841,53.39, ---,Salinas aquitard
1841,377.36,464.39,400ft aquifer
1841,464.39, ---,Deep aquitard
1841, ---,377.36,Middle aquitard
1841, ---,53.39,Shallow aquifer
1844,151.27,209.74,Salinas aquitard
1844,209.74,294.45,180ft aquifer
1844,294.45, ---,Middle aquitard
1844, ---,151.27,Shallow aquifer
1846,37.12, ---,Salinas aquitard
1846,147.94,225.7,180ft aquifer
1846,225.7,392.93,Middle aquitard
1846,392.93, ---,400ft aquifer
1846, ---,37.12,Shallow aquifer
1849,71.68,162.77,Salinas aquitard
1849,162.77,275.19,180ft aquifer
1849,275.19,372.75,Middle aquitard
1849,372.75,492.77,400ft aquifer
1849,492.77, ---,Deep aquitard
1849, ---,71.68,Shallow aquifer
1851,43.22,149.68,Salinas aquitard
1851,149.68,269.93,180ft aquifer
1851,269.93,392.77,Middle aquitard
1851,392.77,512.79,400ft aquifer
1851,512.79, ---,Deep aquitard
1851, ---,43.22,Shallow aquifer
1852,86.3,124.28,Salinas aquitard
1852,124.28,248.67,180ft aquifer
1852,248.67,343.62,Middle aquitard
1852,343.62,367.63,400ft aquifer
1852,367.63,454.6,Deep aquitard
1852,454.6, ---,Paso Robles
1852, ---,86.3,Shallow aquifer
1853,114.12,155.42,Salinas aquitard
1853,155.42,240.9,180ft aquifer
1853,240.9,383.22,Middle aquitard
1853,383.22,501.11,400ft aquifer
1853,501.11, ---,Deep aquitard
1853, ---,114.12,Shallow aquifer
1855,142.17,299.48,180ft aquifer
1855,299.48,368.04,Middle aquitard
1855,368.04,454.38,400ft aquifer
1855,454.38, ---,Deep aquitard
1855, ---,142.17,Salinas aquitard
1862,198.93,275.21,180ft aquifer
1862,275.21,336.46,Middle aquitard
1862,336.46,375.28,400ft aquifer
1862,375.28,483.81,Deep aquitard
1862,483.81, ---,Paso Robles
1862, ---,198.93,Salinas aquitard
1863,579.42, ---,Paso Robles
1863, ---,579.42,Deep aquitard
1873,24.93,128.02,Salinas aquitard
1873,128.02,245.39,180ft aquifer
1873,245.39,367.52,Middle aquitard
1873,367.52, ---,400ft aquifer
1873, ---,24.93,Shallow aquifer
1882,45.7, ---,Salinas aquitard
1882,77.97,139.23,180ft aquifer
1882,139.23,250.39,Middle aquitard
1882,250.39,372.9,400ft aquifer
1882,372.9, ---,Deep aquitard
1882, ---,45.7,Shallow aquifer
1890,22.02,79.62,180ft aquifer
1890,79.62,162.5,Middle aquitard
1890,162.5,263.38,400ft aquifer
1890,263.38, ---,Deep aquitard
1890, ---,22.02,Salinas aquitard
1914,60.53, ---,180ft aquifer
1914,488.38, ---,400ft aquifer
1914, ---,488.38,Middle aquitard
1915,63.95, ---,Salinas aquitard
1915,127.57, ---,180ft aquifer
1915, ---,63.95,Shallow aquifer
1917,150.2,240.95,Salinas aquitard
1917,240.95, ---,180ft aquifer
1917, ---,150.2,Shallow aquifer
1922,93.55,179.39,Salinas aquitard
1922,179.39,269.97,180ft aquifer
1922,269.97,364.81,Middle aquitard
1922,364.81, ---,400ft aquifer
1922, ---,93.55,Shallow aquifer
1934,49.47,193.7,Salinas aquitard
1934,193.7, ---,180ft aquifer
1934, ---,49.47,Shallow aquifer
1935,0,103.48,Shallow aquifer
1935,103.48,118.48,Salinas aquitard
1935,118.48,173.47,180ft aquifer
1935,173.47,253.49,Middle aquitard
1935,253.49,373.48,400ft aquifer
1935,373.48,493.5,Deep aquitard
1935,493.5, ---,Paso Robles
1936,128.02,253.39,180ft aquifer
1936,253.39, ---,Middle aquitard
1936, ---,128.02,Salinas aquitard
1953,25.33,103.11,180ft aquifer
1953,103.11, ---,Middle aquitard
1953, ---,25.33,Salinas aquitard
1957,47.28,180,Salinas aquitard
1957,180,289.53,180ft aquifer
1957,289.53,380.01,Middle aquitard
1957,380.01, ---,400ft aquifer
1957, ---,47.28,Shallow aquifer
1962,104.18,159.4,Salinas aquitard
1962,159.4,243.55,180ft aquifer
1962,243.55,296.05,Middle aquitard
1962,296.05,492.67,400ft aquifer
1962,492.67, ---,Deep aquitard
1962, ---,104.18,Shallow aquifer
1966,81.81,129.99,Salinas aquitard
1966,129.99,204.94,180ft aquifer
1966,204.94,341.46,Middle aquitard
1966,341.46,419.09,400ft aquifer
1966,419.09, ---,Deep aquitard
1966, ---,81.81,Shallow aquifer
1970,39.47,126.09,180ft aquifer
1970,126.09,164.99,Middle aquitard
1970,164.99, ---,400ft aquifer
1970, ---,39.47,Salinas aquitard
1974,213.2,281.9,400ft aquifer
1974,281.9, ---,Deep aquitard
1974, ---,213.2,Middle aquitard
1979,49.13,104.22,Salinas aquitard
1979,104.22, ---,180ft aquifer
1979, ---,49.13,Shallow aquifer
1985,28.59,115.54,Salinas aquitard
1985,115.54, ---,180ft aquifer
1985, ---,28.59,Shallow aquifer
2207,258.31,413.11,Middle aquitard
2207,413.11,498.32,400ft aquifer
2207,498.32, ---,Deep aquitard
2208,109.73,115.82,Salinas aquitard
2208,115.82,235.57,180ft aquifer
2208,235.57,355.42,Middle aquitard
2208,355.42,450.17,400ft aquifer
2208,450.17,691.69,Deep aquitard
2208,691.69, ---,Paso Robles
2208, ---,109.73,Shallow aquifer
2230,9.87,46.53,180ft aquifer
2230,46.53, ---,Middle aquitard
2230, ---,9.87,Salinas aquitard
2260,139.18,154.73,Salinas aquitard
2260,154.73,178.2,180ft aquifer
2260,178.2,295.3,Middle aquitard
2260,295.3,423.49,400ft aquifer
2260,423.49, ---,Deep aquitard
2260, ---,139.18,Shallow aquifer
2297,136.68,179.33,Salinas aquitard
2297,179.33,237.59,180ft aquifer
2297,237.59,436.38,Middle aquitard
2297,436.38,587.18,400ft aquifer
2297,587.18,713.99,Deep aquitard
2297,713.99, ---,Paso Robles
2297, ---,136.68,Shallow aquifer
2307,133.67,261.1,180ft aquifer
2307,261.1,352.45,Middle aquitard
2307,352.45,580.41,400ft aquifer
2307,580.41, ---,Deep aquitard
2307, ---,133.67,Salinas aquitard
2312,62.74,191.58,Salinas aquitard
2312,191.58,314.8,180ft aquifer
2312,314.8,469.31,Middle aquitard
2312,469.31,599.83,400ft aquifer
2312,599.83, ---,Deep aquitard
2312, ---,62.74,Shallow aquifer
2315,124.88,204.93,Salinas aquitard
2315,204.93, ---,180ft aquifer
2315, ---,124.88,Shallow aquifer
2318,34.02,53.05,Shallow aquifer
2318,53.05, ---,Salinas aquitard
2318,124.91,271.34,180ft aquifer
2318,271.34,347.59,Middle aquitard
2318,347.59, ---,400ft aquifer
2320,42.07,124.58,Salinas aquitard
2320,124.58,174.48,180ft aquifer
2320,174.48, ---,Middle aquitard
2320, ---,42.07,Shallow aquifer
2321,129.32,223.01,Salinas aquitard
2321,223.01,283.24,180ft aquifer
2321,283.24,399.98,Middle aquitard
2321,399.98,592.25,400ft aquifer
2321,592.25, ---,Deep aquitard
2321, ---,129.32,Shallow aquifer
2325,42.06,117.61,Salinas aquitard
2325,117.61, ---,180ft aquifer
2325,388.03,497.18,400ft aquifer
2325,497.18, ---,Deep aquitard
2325, ---,388.03,Middle aquitard
2325, ---,42.06,Shallow aquifer
2353,150.56,180.64,Salinas aquitard
2353,180.64,314.93,180ft aquifer
2353,314.93,445.94,Middle aquitard
2353,445.94,699.96,400ft aquifer
2353,699.96,837.6,Deep aquitard
2353,837.6, ---,Paso Robles
2353, ---,150.56,Shallow aquifer
2404,148.13,291.17,180ft aquifer
2404,291.17,414.82,Middle aquitard
2404,414.82,528.77,400ft aquifer
2404,528.77,606.35,Deep aquitard
2404,606.35, ---,Paso Robles
2404, ---,148.13,Salinas aquitard
2419,36.8,126.65,Salinas aquitard
2419,126.65,250.47,180ft aquifer
2419,250.47,408.84,Middle aquitard
2419,408.84,544.7,400ft aquifer
2419,544.7, ---,Deep aquitard
2419, ---,36.8,Shallow aquifer
2420,44,120.54,180ft aquifer
2420,120.54, ---,Middle aquitard
2420,612.87, ---,Paso Robles
2420, ---,612.87,Deep aquitard
2420, ---,44,Salinas aquitard
2437,96.54,146.69,Salinas aquitard
2437,146.69,231.7,180ft aquifer
2437,231.7,393.15,Middle aquitard
2437,393.15,559.16,400ft aquifer
2437,559.16, ---,Deep aquitard
2437, ---,96.54,Shallow aquifer
2478,32.69,104.3,180ft aquifer
2478,104.3, ---,Middle aquitard
2478, ---,32.69,Salinas aquitard
2518,38.95,91.42,180ft aquifer
2518,91.42,163.9,Middle aquitard
2518,163.9,377.41,400ft aquifer
2518,377.41,605.23,Deep aquitard
2518,605.23, ---,Paso Robles
2518, ---,38.95,Salinas aquitard
2534,19.99,81.92,180ft aquifer
2534,81.92, ---,Middle aquitard
2534,749.33, ---,Paso Robles
2534, ---,749.33,Deep aquitard
2534, ---,19.99,Salinas aquitard
2537,92.02,166.58,180ft aquifer
2537,166.58,229.67,Middle aquitard
2537,229.67, ---,400ft aquifer
2537, ---,92.02,Salinas aquitard
2540,52.26,229.98,180ft aquifer
2540,229.98, ---,Middle aquitard
2540, ---,52.26,Salinas aquitard
2571,70.79,122.03,180ft aquifer
2571,122.03,136.86,Middle aquitard
2571,136.86, ---,400ft aquifer
2571, ---,70.79,Salinas aquitard
2590,144,210.67,180ft aquifer
2590,210.67,319.01,Middle aquitard
2590,319.01, ---,400ft aquifer
2590, ---,144,Salinas aquitard
2659,42.57, ---,Salinas aquitard
2659,154.57,224.55,180ft aquifer
2659,224.55,426.38,Middle aquitard
2659,426.38,594.58,400ft aquifer
2659,594.58, ---,Deep aquitard
2659, ---,42.57,Shallow aquifer
2686,119.05,159.56,Salinas aquitard
2686,159.56,316.38,180ft aquifer
2686,316.38,450.84,Middle aquitard
2686,450.84,578.47,400ft aquifer
2686,578.47, ---,Deep aquitard
2686, ---,119.05,Shallow aquifer
2689,86.71,154.24,Salinas aquitard
2689,154.24,291.59,180ft aquifer
2689,291.59,413.33,Middle aquitard
2689,413.33,520.23,400ft aquifer
2689,520.23,662.76,Deep aquitard
2689,662.76, ---,Paso Robles
2689, ---,86.71,Shallow aquifer
2698,158.03,170.71,Salinas aquitard
2698,170.71,260.81,180ft aquifer
2698,260.81,453.01,Middle aquitard
2698,453.01,519.05,400ft aquifer
2698,519.05, ---,Deep aquitard
2698, ---,158.03,Shallow aquifer
2699,107.78,301.62,180ft aquifer
2699,301.62,441.62,Middle aquitard
2699,441.62, ---,400ft aquifer
2699, ---,107.78,Salinas aquitard
2718,119.03,150.4,Salinas aquitard
2718,150.4,240.33,180ft aquifer
2718,240.33,339.07,Middle aquitard
2718,339.07,609.36,400ft aquifer
2718,609.36, ---,Deep aquitard
2718, ---,119.03,Shallow aquifer
2743,52.91, ---,Salinas aquitard
2743,64.36,130.15,180ft aquifer
2743,130.15,180.03,Middle aquitard
2743,180.03,260.4,400ft aquifer
2743,260.4,448.54,Deep aquitard
2743,448.54, ---,Paso Robles
2743, ---,52.91,Shallow aquifer
2746,166.38,238.58,180ft aquifer
2746,238.58,372.89,Middle aquitard
2746,372.89,466.18,400ft aquifer
2746,466.18, ---,Deep aquitard
2746, ---,166.38,Salinas aquitard
2750,169.3,203.64,180ft aquifer
2750,203.64,247.79,Middle aquitard
2750,247.79,394.97,400ft aquifer
2750,394.97,556.86,Deep aquitard
2750,556.86, ---,Paso Robles
2750, ---,169.3,Salinas aquitard
2753,30.66,209.34,180ft aquifer
2753,209.34,242.43,Middle aquitard
2753,242.43,389.92,400ft aquifer
2753,389.92, ---,Deep aquitard
2753, ---,30.66,Salinas aquitard
2775,266.51,463.32,400ft aquifer
2775,463.32, ---,Deep aquitard
2775, ---,266.51,Middle aquitard
2776,77.66,88.94,Salinas aquitard
2776,88.94,278.22,180ft aquifer
2776,278.22,321.89,Middle aquitard
2776,321.89,502.87,400ft aquifer
2776,502.87, ---,Deep aquitard
2776, ---,77.66,Shallow aquifer
2777,34.63,104.63,Salinas aquitard
2777,104.63,195.06,180ft aquifer
2777,195.06,263.96,Middle aquitard
2777,263.96,517.33,400ft aquifer
2777,517.33, ---,Deep aquitard
2777, ---,34.63,Shallow aquifer
2779,135.06,271.04,Salinas aquitard
2779,271.04,397.5,180ft aquifer
2779,397.5,472.84,Middle aquitard
2779,472.84, ---,400ft aquifer
2779, ---,135.06,Shallow aquifer
2784,163.3, ---,180ft aquifer
2784, ---,163.3,Salinas aquitard
2785,38.92,77.9,Salinas aquitard
2785,77.9, ---,180ft aquifer
2785,162.36, ---,Middle aquitard
2785, ---,38.92,Shallow aquifer
2791,88.86,215.32,Salinas aquitard
2791,215.32,349.86,180ft aquifer
2791,349.86,438.65,Middle aquitard
2791,438.65, ---,400ft aquifer
2791, ---,88.86,Shallow aquifer
2796,94.69,330.43,180ft aquifer
2796,330.43,431.89,Middle aquitard
2796,431.89, ---,400ft aquifer
2796, ---,94.69,Salinas aquitard
2799,403.67, ---,400ft aquifer
2799, ---,403.67,Middle aquitard
2801,76.76,188.89,180ft aquifer
2801,188.89,287.83,Middle aquitard
2801,287.83, ---,400ft aquifer
2801, ---,76.76,Salinas aquitard
2802,115.88,294.38,180ft aquifer
2802,294.38,365.33,Middle aquitard
2802,365.33,554.01,400ft aquifer
2802,554.01, ---,Deep aquitard
2802, ---,115.88,Salinas aquitard
2803,0.46,67.46,180ft aquifer
2803,67.46,93.52,Middle aquitard
2803,93.52, ---,400ft aquifer
2803,344.77, ---,Paso Robles
2803, ---,344.77,Deep aquitard
2803, ---,0.46,Salinas aquitard
2805,37.11,86.98,Salinas aquitard
2805,86.98,195.01,180ft aquifer
