BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
23178,5993793.3,1892674.2,508.6196558,230.011224,22S10E17N51
23179,5993793.3,1892674.2,508.6196558,270.013176,22S10E17N52
2318,5770276,2131575,38.06909766,524.0255712,15S02E01Q50
23181,5767818.3,2175088.4,108.7304151,1170.057096,13S02E26J50
23183,5901010.8,2029511.7,201.6633622,110.005368,18S07E07A50
23186,5857329.4,1988786.8,486.9567883,86.0041968,19S05E23H01
23188,5784408.2,2186488.9,228.2353417,340.016592,13S03E17H01
23190,5840529.1,2107913.5,428.8324894,640.031232,15S05E30R50
23192,5937227.6,1883695.2,1167.340232,293.0142984,22S08E28P50
23193,5798114.6,2110250.1,71.71826664,480.023424,15S/03E-26J51
23194,5854687,1990180.7,633.1971642,260.012688,19S05E23C51
23195,5817539.5,2128546.5,154.7134694,390.019032,15S04E09C50
23196,5769174.2,2127416.5,33.22354151,500.0244,15S02E12L50
2320,5781044.1,2121450.2,52.17214935,178.0086864,15S03E17K51
23208,5944525.5,1954745,302.8724062,120.005856,21S09E22G50
23209,5945617.2,1953304.1,319.5747072,100.00488,21S08E22K50
2321,5803670.1,2118042.7,65.89230459,603.0294264,15S/03E-24A51
23211,5943905.5,1955080.4,302.8724062,135.006588,21S09E22F50
23214,5790821,2124425.7,62.77291185,596.0290848,15S/03E-15C50
23217,5922486.5,2004326.7,284.4948398,280.013664,19S/07E-01D50
23218,5925955.6,1976483.3,279.9790252,300.01464,19S07E36A51
23222,5901533.2,2012861.3,271.5644239,250.0122,18S07E29M50
23223,5769752.1,2098283.9,757.571465,820.040016,16S02E12B53
23229,5873839.6,2044107.5,173.0661916,670.032696,17S06E29K02
23232,5934713.7,1898252.6,1811.639474,431.0210328,22S08E17A50
23240,5795971.1,2178314.3,404.0877643,441.0215208,13S03E23N50
23243,5761479.6,2185746.8,64.85401309,565.027572,13S02E15K54
23248,5790138.9,2149393.5,83.48857208,500.0244,14S03E22E52
2325,5789294.6,2112209,93.60045879,536.0261568,15S03E27E04
23251,5880161.6,2040635.1,169.5270398,1020.049776,17S06E33A51
23252,5873784.8,2050228.4,180.9468821,1095.053436,17S06E20K50
23253,5783056.9,2185202.1,227.8521808,380.018544,13S03E17K55
23271,5785723,2186459,225.8436341,522.0254736,13S03E16E56
23275,5847249.1,2110460,529.2382993,340.016592,15S05E28E51
23277,5788225.2,2181125,223.6754099,450.02196,13S03E21G50
23278,5812490.5,2140764.8,154.2086919,500.0244,14S04E29P51
2328,5822116.2,2116275,191.8553877,720.035136,15S04E22F50
23280,5988906.5,1848005.3,1062.784661,185.009028,23S10E31F50
23282,5804631.7,2124181.5,66.0160665,720.035136,15S04E18D50
23283,5780091.7,2172146.2,71.96746386,440.021472,13S03E32D50
23284,5800715.5,2155778.8,144.2179741,510.024888,14S03E13D51
23285,5783571.4,2150960.5,84.20531838,665.032452,14S03E20A51
23289,5864651.6,2011946.6,1080.651816,800.03904,18S06E30N50
23290,5853342,1990224.7,746.69172,370.018056,19S05E23D50
23291,5805093.5,2119470,73.5563973,540.026352,15S04E18N51
23292,5854687,1990180.7,633.1971642,130.006344,19S05E23C53
23295,5772691.6,2145958.7,46.49000652,510.024888,14S02E25A50
23297,5783664.7,2120361.3,65.19727333,568.0277184,15S03E16N51
23298,5784371.8,2185170.7,335.7108406,505.024644,13S03E17J53
23299,5928387.6,1927214.1,701.5527859,55.002684,21S08E18K50
23304,5851158.9,2050516.7,227.513927,500.0244,17S05E22L50
23307,5812451.7,2139444.7,140.2641984,600.02928,14S04E32C50
23308,5809870.8,2096775.2,162.0084065,500.0244,16S04E08D50
23311,5959725.8,1938612.7,350.9849858,65.003172,21S09E06F50
23312,5808515.9,2096797.2,205.8114092,500.0244,16S04E07A50
23314,5809919.8,2146091.8,231.5546504,150.00732,14S04E19R50
23315,5809919.8,2146091.8,231.5546504,300.01464,14S04E19R51
23316,5936594.6,1955515.4,295.944719,130.006344,20S08E21D50
23317,5812641.1,2146009.4,300.0248424,100.00488,14S04E20P50
23318,5991461.8,1900583.1,410.6452539,190.009272,22S10E07G51
23319,5794479.2,2122522.3,63.38158987,660.032208,15S/03E-14E51
23320,5904458.5,1997437.8,280.4341273,340.016592,19S07E08G50
23325,5928387.6,1927214.1,701.5527859,36.0017568,21S08E18K51
23331,5832085.9,1977836.6,845.9956827,200.00976,19S05E31M51
23332,5909739.1,2060975.6,1909.875232,50.00244,17S07E09F50
23340,5851620.2,2084021.4,295.1725399,690.033672,16S05E22E50
23342,5864732.4,2014548,1119.617923,480.023424,18S06E30E50
23343,5780188.9,2176075.5,90.31228673,500.0244,13S03E29E55
23344,5840529.1,2107913.5,428.8324894,290.014152,15S05E30R51
23351,5786776.8,2175907.8,324.8907712,620.030256,13S03E28F50
23359,5766738.5,2166006.2,54.73953215,600.02928,14S02E02G50
23397,5840604.4,2092210.6,182.3856562,825.04026,16S05E07R50
23398,5825034.9,2113546.9,202.531976,920.044896,15S04E22R50
23399,5813198,2125245.1,112.2924165,820.040016,15S04E08Q50
23408,5830359.2,2106117.8,240.976969,920.044896,15S04E36E51
23409,5762757.6,2184398.2,72.45471917,540.026352,13S02E15R53
23410,5949642.7,1954448,309.1180594,105.005124,20S08E23F53
23412,5766746,2144121.1,34.65343528,618.0301584,14S02E26J51
23413,5875169.4,2024261.3,322.2198268,380.018544,18S06E16M50
23414,5846538.9,2082444,183.3849198,780.038064,16S05E21M51
23415,5942991.9,1955121.1,302.5443112,125.0061,20S08E22E50
23419,5884381.5,2015950.2,246.3156206,216.0105408,18S06E27A50
23422,5818419.8,2115057.7,151.2604286,800.03904,15S04E21K50
23423,5805928.1,2111067,58.57697285,800.03904,15S/04E-30F51
23424,5891705.5,2034477.2,213.0746511,410.020008,18S06E01E04
23427,5861376.7,2042143.5,162.8144251,162.0079056,17S05E36C02
23430,5845658.1,2045639.7,745.2266123,460.022448,17S05E28N02
23431,5852875,2076252.8,243.0351571,560.027328,16S05E27N51
23434,5836313.7,2064264.3,133.290161,430.020984,17S05E07C03
